,Delay OID,Description,Engine Stopped Flag,Field Notification Required Flag,Production Reporting Only Flag,Delay Class Name,Delay Class Category Name,Target Machine Name,Target Machine Class Name,Target Machine Class Description,Target Machine Class Category Name,Delay Start Timestamp (GMT8),Delay Finish Timestamp (GMT8),Delay Finish - Start
0,10721642969,MACHINE GEN Started a delay: 2110_Operator_Hot_Seat,N,N,Y,2110_Operator_Hot_Seat,Scheduled Process Down,WL7030,994H,Wheel Loader,Loader Classes,26-07-2020 02:04,26-07-2020 02:08,222
1,10721643044,6026,N,Y,Y,4070_Wait_on_Access,Unscheduled Process Down,DT5266,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 01:59,26-07-2020 02:05,408
2,10721643462, - [STOP_MACHINE : [PRIMARY_POWERTRAIN]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5271,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 02:06,26-07-2020 02:06,11
3,10721643635, - [STOP_MACHINE : [PRIMARY_POWERTRAIN]] access ladder down M5 putting back up ,N,Y,Y,4170_Operator_Equipment_Checks,Unscheduled Process Down,DT5271,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 02:06,26-07-2020 02:23,1043
4,10721645207,5271,N,Y,N,7410_Behind_Delayed_Machine,Unscheduled Process Down,DT5212,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 02:09,26-07-2020 02:15,316
5,10721645447,5271,N,Y,N,7410_Behind_Delayed_Machine,Unscheduled Process Down,DT5272,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 02:10,26-07-2020 02:15,288
6,10721646009,MACHINE GEN Started a delay: 2110_Operator_Hot_Seat,N,N,Y,2110_Operator_Hot_Seat,Scheduled Process Down,EX7028,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,26-07-2020 02:11,26-07-2020 02:17,352
7,10721646475,,N,Y,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5171,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 02:12,26-07-2020 02:13,18
8,10721647114,MACHINE GEN Started a delay: 4010_Relocation,N,Y,Y,4010_Relocation,Unscheduled Process Down,EX7021,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,26-07-2020 02:14,26-07-2020 02:19,295
9,10721647190,MACHINE GEN Started a delay: 4030_Road/Face/Bench_Preparation,N,N,Y,4030_Road/Face/Bench_Preparation,Unscheduled Process Down,EX7100,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,26-07-2020 02:14,26-07-2020 02:16,113
10,10721647872,,Y,Y,N,2020_Refuelling,Scheduled Process Down,DT5294,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 02:15,26-07-2020 02:42,1600
11,10721647914,,N,N,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5190,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 02:14,26-07-2020 02:15,96
12,10721648042,2W Mech Svce,N,Y,N,3000_Scheduled_Maintenance,Scheduled Equipment Down,WL7058,WA1200,Komatsu 1200 Series Wheel Loader,Loader Classes,26-07-2020 02:16,27-07-2020 04:51,95744
13,10721648477,,N,Y,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5293,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 02:16,26-07-2020 02:17,9
14,10721648526,MACHINE GEN Started a delay: 4030_Road/Face/Bench_Preparation,N,N,Y,4030_Road/Face/Bench_Preparation,Unscheduled Process Down,EX7154,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,26-07-2020 02:17,26-07-2020 02:18,93
15,10721648616,MACHINE GEN Started a delay: 4030_Road/Face/Bench_Preparation,N,N,Y,4030_Road/Face/Bench_Preparation,Unscheduled Process Down,EX7028,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,26-07-2020 02:17,26-07-2020 02:18,86
16,10721648798,,N,N,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5211,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 02:16,26-07-2020 02:18,97
17,10721777733,Emergency Tone Testing,N,Y,N,4110_Emergency/Incident,Unscheduled Process Down,DT5272,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 08:01,26-07-2020 08:06,309
18,10721777734,Emergency Tone Testing,N,Y,Y,4110_Emergency/Incident,Unscheduled Process Down,DT5287,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 08:01,26-07-2020 08:01,5
19,10721777735,Emergency Tone Testing,N,Y,N,4110_Emergency/Incident,Unscheduled Process Down,DT5221,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 08:01,26-07-2020 08:04,143
20,10721777737,Emergency Tone Testing,N,Y,N,4110_Emergency/Incident,Unscheduled Process Down,DT5248,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 08:01,26-07-2020 08:04,153
21,10721777738,Emergency Tone Testing,N,Y,N,4110_Emergency/Incident,Unscheduled Process Down,DT5402,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 08:01,26-07-2020 08:05,190
22,10721777753,Emergency Tone Testing,N,Y,N,4110_Emergency/Incident,Unscheduled Process Down,DT5214,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 08:01,26-07-2020 08:04,134
23,10721777757,Emergency Tone Testing,N,Y,N,4110_Emergency/Incident,Unscheduled Process Down,DT5287,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 08:01,26-07-2020 08:04,179
24,10721777758,Emergency Tone Testing,N,Y,N,4110_Emergency/Incident,Unscheduled Process Down,DT5213,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 08:01,26-07-2020 08:04,132
25,10721777759,Emergency Tone Testing,N,Y,N,4110_Emergency/Incident,Unscheduled Process Down,DT5212,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 08:01,26-07-2020 08:04,130
26,10721777769,Emergency Tone Testing,N,Y,N,4110_Emergency/Incident,Unscheduled Process Down,DT5225,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 08:01,26-07-2020 08:04,145
27,10721777796,MACHINE GEN Started a delay: 4030_Road/Face/Bench_Preparation,N,N,Y,4030_Road/Face/Bench_Preparation,Unscheduled Process Down,EX8046,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,26-07-2020 08:02,26-07-2020 08:06,273
